Judul,Penulis
Analisis Pengaruh Automated Customer Service Berbasis Artificial Intelligence Pada Aplikasi E-commerce (Studi Kasus Aplikasi Lazada),"Mitha Diah Rosanti, Satrio Hadi Wijoyo, Aditya Rachmadi"
Analisis Faktor yang Memengaruhi Penggunaan Cryptocurrency Menggunakan Unified Theory of Acceptance and use of Technology (UTAUT) Termodifikasi (Studi Kasus Pada Generasi Z di DKI Jakarta),"Putri Nabilah Hanun, Satrio Hadi Wijoyo, Aditya Rachmadi"
Evaluasi dan Perbaikan Desain Antarmuka Pengguna pada Website SMP Negeri 1 Maron menggunakan Metode Website Usability Evaluation Tool (WEBUSE) dan Human Centered Design (HCD),"Desi Fitriyyah, Hanifah Muslimah Az-Zahra, Tri Afirianto"
Analisis Perbandingan Waktu Simpan ke Database Antara Gambar BLOB dan Konversi Base64 pada Website Sosial Media,M Alfi Syahri Ramadhan
Pengembangan Aplikasi Pengarsipan Paper Halaqah Berbasis Web Menggunakan Model Prototyping (Studi Kasus: Lembaga Tinggi Pesantren Luhur Malang),"Ghaytsa Zahara Faradisa, Tri Afirianto, Khalid Rahman"
Pengembangan Media Pembelajaran  Berbasis Augmented Reality untuk Pengenalan Topologi Jaringan,Muhammad Afton Ilman Huda
Prediksi Penjualan Makanan Restororan Menggunakan Metode ARIMA: Studi Kasus Waroeng Marisukakoi,"radityo Hamas, Nanang Yudi Setiawan, Dian Eka Ratnawati"
Evaluasi Proses Bisnis Penjualan Produk Pusat Penelitian Perkebunan Gula Indonesia Menggunakan Business Process Improvement (BPI),"Wildan Aulia Mu'tashim, Herman Tolle"
Pengembangan Sistem Deteksi Jenis Sel Darah Putih Menggunakan Algoritma Shape Context Berbasis Smartphone,"Ridwan Aji Nugraha, Barlian  Henryranu Prasetio"
Strategi Peningkatan SDM Berdasarkan Pengelompokan Kualitas Kinerja Pegawai CV Mediatama Perkasa Bogor Menggunakan K-Means Clustering,"Nathalia Clarissa Anggraini Suhartanto, Satrio Hadi Wijoyo, Welly Purnomo"
Pembangunan Sistem Informasi Robot BRONE Project Berbasis Web Menggunakan PHP,"Milenium Putri Dion, Tibyani, Welly  Purnomo"
Rancang Bangun Automatic Transfer Switch (ATS) Pada Sistem Irigasi Otomatis Berbasis Internet of Things,"Muhamad Ari Nugroho, Agung  Setia Budi"
Pengembangan Media Pembelajaran Pengenalan Objek Penting Masjidil Haram Untuk Anak Usia Dini Berbasis Augmented Reality,"Muthiah Zain, Herman Tolle, Fais  Al Huda"
Evaluasi Usability Sistem Informasi Kearsipan Dinamis Terintegrasi (SRIKANDI) Versi 3: Kasus di Politeknik Kesehatan Kemenkes Malang,"Leli Purwanti, Ismiarta  Aknuranda, Alfi Nur Rusydi"
Rekomendasi Penempatan Kegiatan Praktek Kerja Lapangan (PKL) menggunakan Metode Profile Matching pada Jurusan Teknik Komputer dan Jaringan (TKJ) di SMK Negeri 2 Malang,"Rafi Arya Siregar, Satrio Hadi  Wijoyo, Satrio Agung Wicaksono"
Pengembangan E-Modul Berbasis Flipbook pada Materi Aplikasi Penjelajah Internet Mata Pelajaran Informatika Kelas X,"Adinda Firda Kartika Sari, Wibisono Sukmo Wardhono, Uun Hariyanti"
Penyusunan Spesifikasi Persyaratan dan Pemodelan Proses Bisnis  Terhadap Aplikasi Skrining Covid-19: Kasus Areema di Kabupaten  Malang,"Oktavia Safitri, Ismiarta Aknuranda"
Analisis Faktor-faktor yang Memengaruhi Minat Penggunaan Ulang Mahasiswa pada Platform E-Learning dan Bootcamp IT,"Ilham Nuansa Shaylendra Putra Pamungkas, Aryo Pinandito, Retno Indah Rokhmawati"
Pengaruh Metode Problem-based Learning Berbantuan Github dan ChatGPT terhadap Hasil Belajar dan Computational Thinking Skill Siswa,"Tuffahati Sholihah, Admaja Dwi Herlambang, Satrio Hadi Wijoyo"
"Pengaruh Minat Belajar, Motivasi Belajar, dan Gaya Belajar Siswa Terhadap Hasil Belajar Siswa Kelas XI Pada Mata Pelajaran Pemrograman Website Di SMKN 11 Malang","Ramadhan Mulia  Fajri, Satrio Hadi Wijoyo, Nurul Hidayat"
"Analisis Performa Networking Library Retrofit, Ktor Client, Okhttp Dan Volley Pada Pengembangan Aplikasi Perangkat Bergerak Berbasis Android","Dzikry Aji Santoso, Djoko Pramono, Aryo Pinandito"
Persepsi Peserta Didik pada Penggunaan Aplikasi Canon Berbasis Web dalam Pembelajaran Materi Triangle Exposure,"Muhammad Fajar Rifaldi, Wibisono Sukmo Wardhono, Aswin Suharsono"
Implementasi Metode K-Nearest Neighbor untuk Deteksi Dini Stres Berbasis Neruosky Electroencephalogram Sensor,"Yohanes Ronaldo Juliantino Hutagaol, Edita Rosana Widasari"
Identifikasi Permasalahan Pembelajaran Terkait Aksesibilitas Learning Management System BRONE (Brawijaya Online Learning) Berdasarkan WCAG (Web Content Accessibility Guidelines) pada Mahasiswa Disabilitas Netra,"Andhika Satria, Hanifah Muslimah Az-Zahra, Tri Afirianto"
Analisis Penjualan Bobby Aquatic Menggunakan K-Means Clustering dan Holt-Winters dengan Pendekatan CRISP-DM,"Levina Shaharani Prabowo, Nanang Yudi Setyawan, Welly Purnomo"
Persepsi Peserta Didik pada Penggunaan PC Building Simulator Sebagai Media Pembelajaran dalam Proses Pembelajaran Materi Perakitan Komputer,"Alfian Darmawan, Wibisono Sukmo Wardhono, Admaja Dwi Herlambang"
Pengembangan Aplikasi Manajemen Pelanggan Divisi Sales Berbasis Mobile dengan Integrasi Layanan Google Maps (Studi Kasus: Dasarata Branch Malang),"Aulia Heppy Cahya Sudjianto, Issa Arwani, Muhammad Aminul Akbar"
Pengenalan Plat Nomor Kendaraan Indonesia Menggunakan Convolutional Neural Network dan BiLSTM,"Wahyu Valentino Marasitua, Novanto Yudistira, Muhammad Arif  Rahman"
Implementasi Sistem Informasi Penerimaan Siswa Baru Sekolah Khusus Yayasan Karya Dharma Wanita Khusus Tuli (SKH YKDW 02) Kota Tangerang,"Muhammad Alwi, Riswan  Septriyati Sianturi"
Perancangan Pengalaman Pengguna Aplikasi Jasa Haji dan Umrah Berbasis Website Menggunakan Metode Design Thinking (Studi Kasus: PT Global Tour & Travel),"TSABITA MUTHIA AYU PRAMESTI, HERMAN TOLLE, BAYU  PRIYAMBADHA"
Deteksi Tingkat Resiko Kanker Serviks pada Wanita Usia Subur dengan  Metode Modified K-Nearest Neighbor,"Dillah Lyra Mukhrodi,  Lailil  Muflikhah, Diva Kurnianingtyas"
Perancangan User Experience Aplikasi Among Batu Menggunakan Metode Design Thinking,"Findavita Lanitasya Shaghira, Herman Tolle, Dwi Cahya Astriya"
Analisis Kepuasan Pengguna IM3 Terhadap Aplikasi MyIM3 Menggunakan Metode End User Computing Satisfaction (EUCS) Termodifikasi,"Cahya Sari, Aditya  Rachmadi, Admaja  Dwi Herlambang"
